latitude,id,longitude
-33.05,35,151.5
-33.05,37,151.5
-33.066666,19,147.96667
-33.066666,24,147.96667
-33.083336,19,141.58333
-33.083336,19,144.08333
-33.083336,19,144.91667
-33.083336,19,145.08333
-33.083336,19,145.25
-33.083336,19,145.41667
-33.083336,19,146.41667
-33.083336,19,146.58333
-33.083336,19,146.75
-33.083336,19,147.08333
-33.083336,19,147.75
-33.083336,19,147.91667
-33.083336,19,148.08333
-33.083336,19,148.25
-33.083336,19,148.41667
-33.083336,19,148.75
-33.083336,19,148.91667
-33.083336,19,149.08333
-33.083336,19,149.41667
-33.083336,19,149.58333
-33.083336,19,149.75
-33.083336,19,149.91667
-33.083336,19,150.08333
-33.083336,19,150.21666
-33.083336,19,150.25
-33.083336,19,150.75
-33.083336,19,151.08333
-33.083336,19,151.25
-33.083336,19,151.41667
-33.083336,19,151.48332
-33.083336,19,151.5
-33.083336,21,148.75
-33.083336,21,151.41667
-33.083336,23,146.58333
-33.083336,23,147.75
-33.083336,23,148.08333
-33.083336,23,148.25
-33.083336,23,150.08333
-33.083336,23,150.25
-33.083336,24,141.58333
-33.083336,24,145.08333
-33.083336,24,145.25
-33.083336,24,145.41667
-33.083336,24,146.41667
-33.083336,24,146.58333
-33.083336,24,146.75
-33.083336,24,147.08333
-33.083336,24,147.75
-33.083336,24,147.91667
-33.083336,24,148.08333
-33.083336,24,148.25
-33.083336,24,148.41667
-33.083336,24,148.75
-33.083336,24,148.91667
-33.083336,24,149.08333
-33.083336,24,149.41667
-33.083336,24,149.58333
-33.083336,24,149.75
-33.083336,24,150.25
-33.083336,24,151.08333
-33.083336,24,151.25
-33.083336,24,151.41667
-33.083336,24,151.48332
-33.083336,24,151.5
-33.083336,25,150.08333
-33.083336,25,150.25
-33.083336,25,151.08333
-33.083336,26,151.41667
-33.083336,26,151.48332
-33.083336,26,151.5
-33.083336,28,148.08333
-33.083336,28,148.75
-33.083336,28,148.91667
-33.083336,28,149.08333
-33.083336,28,149.41667
-33.083336,28,149.75
-33.083336,28,149.91667
-33.083336,28,150.08333
-33.083336,28,150.25
-33.083336,28,151.25
-33.083336,28,151.41667
-33.083336,29,145.41667
-33.083336,29,145.58333
-33.083336,29,147.08333
-33.083336,29,147.75
-33.083336,29,148.41667
-33.083336,29,148.75
-33.083336,29,148.91667
-33.083336,29,149.25
-33.083336,29,149.41667
-33.083336,29,149.58333
-33.083336,29,149.91667
-33.083336,29,150.08333
-33.083336,29,150.25
-33.083336,29,151.08333
-33.083336,29,151.41667
-33.083336,30,146.41667
-33.083336,30,146.58333
-33.083336,30,146.75
-33.083336,30,148.25
-33.083336,30,148.41667
-33.083336,30,148.75
-33.083336,30,148.91667
-33.083336,30,149.08333
-33.083336,30,149.58333
-33.083336,30,149.91667
-33.083336,30,150.08333
-33.083336,30,150.21666
